gesl,bin,variable,N
Otto,22,"Szenario 4
(GPG/Frau)",9853
Otto,16,"Szenario 4
(GPG/Frau)",4205
Otto,8,"Szenario 4
(GPG/Frau)",2170
Otto,21,"Szenario 4
(GPG/Frau)",9371
Otto,20,"Szenario 4
(GPG/Frau)",8534
Otto,14,"Szenario 4
(GPG/Frau)",3548
Otto,31,"Szenario 4
(GPG/Frau)",6171
Otto,9,"Szenario 4
(GPG/Frau)",2464
Otto,23,"Szenario 4
(GPG/Frau)",9862
Otto,5,"Szenario 4
(GPG/Frau)",1191
Otto,18,"Szenario 4
(GPG/Frau)",6131
Otto,27,"Szenario 4
(GPG/Frau)",7740
Otto,12,"Szenario 4
(GPG/Frau)",3104
Otto,32,"Szenario 4
(GPG/Frau)",6021
Otto,19,"Szenario 4
(GPG/Frau)",7172
Otto,36,"Szenario 4
(GPG/Frau)",2723
Otto,17,"Szenario 4
(GPG/Frau)",5047
Otto,41,"Szenario 4
(GPG/Frau)",80
Otto,30,"Szenario 4
(GPG/Frau)",6485
Otto,11,"Szenario 4
(GPG/Frau)",2956
Otto,15,"Szenario 4
(GPG/Frau)",3617
Otto,10,"Szenario 4
(GPG/Frau)",2718
Otto,13,"Szenario 4
(GPG/Frau)",3266
Otto,6,"Szenario 4
(GPG/Frau)",1551
Otto,38,"Szenario 4
(GPG/Frau)",1112
Otto,7,"Szenario 4
(GPG/Frau)",1879
Otto,39,"Szenario 4
(GPG/Frau)",548
Otto,40,"Szenario 4
(GPG/Frau)",269
Marie,33,"Szenario 4
(GPG/Frau)",570
Otto,3,"Szenario 4
(GPG/Frau)",502
Otto,4,"Szenario 4
(GPG/Frau)",825
Marie,34,"Szenario 4
(GPG/Frau)",344
Marie,36,"Szenario 4
(GPG/Frau)",74
Otto,2,"Szenario 4
(GPG/Frau)",221
Marie,37,"Szenario 4
(GPG/Frau)",18
Marie,38,"Szenario 4
(GPG/Frau)",12
Otto,42,"Szenario 4
(GPG/Frau)",35
Otto,43,"Szenario 4
(GPG/Frau)",5
Marie,39,"Szenario 4
(GPG/Frau)",6
Marie,41,"Szenario 4
(GPG/Frau)",3
Otto,1,"Szenario 4
(GPG/Frau)",45
Otto,46,"Szenario 4
(GPG/Frau)",1
Otto,44,"Szenario 4
(GPG/Frau)",1
Marie,40,"Szenario 4
(GPG/Frau)",1
Marie,16,"Szenario 5
(Beste 15 Jahre)",10589
Marie,28,"Szenario 5
(Beste 15 Jahre)",3918
Marie,11,"Szenario 5
(Beste 15 Jahre)",10829
